9223,,,521,EPICHARMUS et &3PSEUDEPICHARMEA,,,,9223,,
9210,,,1147,ANTIPHON,,,,9210,,
9200,,,2002,ANONYMUS SEGUERIANUS,,,,9200,,
9092,,,1188,ARISTOCLES,,,,9092,,
8843,,,487,Philemon Comic. 01,,,,8843,,
8824,,,1553,Palaephatus,,,,8824,,
8813,,,1321,Diogenes Phil. 04,,,,8813,,
8812,,,2141,Dexippus 01,,,,8812,,
8709,,,1609,PHYLARCHUS,,,,8709,,
8680,,,1452,Juba 2 Rex Mauretaniae,,,,8680,,
8641,,,1451,Josephus et Aseneth,,,,8641,,
8596,,,1548,OENOMAUS,,,,8596,,
8554,,,594,ALEXANDER,,,,8554,,
8405,,,199,BACCHYLIDES,,,,8405,,
8292,,,1779,ANONYMUS EPICUREUS,,,,8292,,
8219,,,591,ANTISTHENES,,,,8219,,
8091,,,697,Alexander Polyhist.,,,,8091,,
8075,,,653,ARATUS,,,,8075,,
7984,,,1696,STRATON,,,,7984,,
7954,,,1312,Didymus 01,,,,7954,,
7944,,,655,PARTHENIUS,,,,7944,,
7858,,,1285,CONON,,,,7858,,
7745,,,267,XENOPHANES,,,,7745,,
7691,,,1562,PARMENIDES,,,,7691,,
7668,,,341,LYCOPHRON,,,,7668,,
7493,,,68,Scymnus,,,,7493,,
7438,,,652,Philostratus 04,,,,7438,,
7380,,,319,CRITIAS,,,,7380,,
7364,,,626,HERACLITUS,,,,7364,,
7359,,,751,Hippocrates,,,,7359,,
7275,,,661,ARCHIGENES,,,,7275,,
7180,,,733,Cassius 03,,,,7180,,
7144,,,1944,Ptolemaeus 11,,,,7144,,
7098,,,1181,ARISTARCHUS,,,,7098,,
7057,,,1216,Barnabae epistula,,,,7057,,
7039,,,1702,Testamentum Jobi,,,,7039,,
7002,,,556,ASCLEPIODOTUS,,,,7002,,
6900,,,1421,HERMIPPUS,,,,6900,,
6889,,,1416,Herennius Philo,,,,6889,,
6885,,,568,ANTIGONUS,,,,6885,,
6800,,,300,Acta Alexandrinorum,,,,6800,,
6722,,,63,Dionysius 52,,,,6722,,
6634,,,1667,Septem sapientes,,,,6634,,
6624,,,535,DEMADES,,,,6624,,
6618,,,1366,Evangelium Bartholomaei,,,,6618,,
6590,,,1339,DURIS,,,,6590,,
6561,,,71,Periplus maris Erythraei,,,,6561,,
6498,,,1158,Apocalypsis Joannis,,,,6498,,
6413,,,1487,MAXIMUS,,,,6413,,
6377,,,1347,EPIMENIDES,,,,6377,,
6371,,,2178,Longinus 01,,,,6371,,
6298,,,1617,Polemon 02,,,,6298,,
6292,,,1699,TELES,,,,6292,,
6220,,,632,Pythagoras,,,,6220,,
6159,,,9,SAPPHO,,,,6159,,
6156,,,261,SIMONIDES,,,,6156,,
6082,,,1495,MELITO,,,,6082,,
6039,,,66,DICAEARCHUS,,,,6039,,
5981,,,1165,APOLLODORUS,,,,5981,,
5980,,,77,Periplus Maris Magni,,,,5980,,
5928,,,1492,MELEAGER,,,,5928,,
5889,,,1208,Atticus 02,,,,5889,,
5842,,,1596,PHILOLAUS,,,,5842,,
5782,,,434,CRATINUS,,,,5782,,
5704,,,717,HYPSICLES,,,,5704,,
5592,,,1760,Suetonius Tranquillus,,,,5592,,
5568,,,1207,ATTALUS,,,,5568,,
5523,,,619,APOLLONIUS,,,,5523,,
5497,,,1266,TYRANNION,,,,5497,,
5490,,,392,ACUSILAUS,,,,5490,,
5384,,,1756,DEMETRIUS,,,,5384,,
5372,,,1222,Berossus,,,,5372,,
5355,,,458,EUBULUS,,,,5355,,
5293,,,1759,Sententiae Pythagoreorum,,,,5293,,
5183,,,1629,POLYSTRATUS,,,,5183,,
5138,,,1637,Protevangelium Jacobi,,,,5138,,
5113,,,1125,ANDROTION,,,,5113,,
5088,,,667,Marcellinus 03,,,,5088,,
5065,,,1705,THALES,,,,5065,,
5023,,,1193,Ariston Phil. 02,,,,5023,,
5009,,,650,HERODAS,,,,5009,,
4973,,,1591,PHILISTUS,,,,4973,,
4959,,,1175,ARCHESTRATUS,,,,4959,,
4953,,,41,Chionis epistulae,,,,4953,,
4951,,,486,PHERECRATES,,,,4951,,
4873,,,1635,PROTAGORAS,,,,4873,,
4868,,,620,Archytas Phil. 01,,,,4868,,
4867,,,1666,Sententiae Sexti,,,,4867,,
4845,,,1450,ISTER,,,,4845,,
4836,,,1247,Cebes,,,,4836,,
4792,,,1494,MELISSUS,,,,4792,,
4741,,,1240,CALLIXENUS,,,,4741,,
4729,,,1943,ONESICRITUS,,,,4729,,
4727,,,1734,TIMAEUS,,,,4727,,
4727,,,1545,OCELLUS,,,,4727,,
4613,,,1747,Vita Adam et Evae,,,,4613,,
4581,,,1146,ANTIPATER,,,,4581,,
4564,,,1905,EUHEMERUS Scriptor De Sacra Historia,,,,4564,,
4554,,,673,AESCHINES SOCRATICUS,,,,4554,,
4513,,,447,DIPHILUS,,,,4513,,
4394,,,1816,Epica adespota (GDRK),,,,4394,,
4282,,,1458,LEONIDAS,,,,4282,,
4270,,,83,Dionysius 10,,,,4270,,
4257,,,647,TRIPHIODORUS,,,,4257,,
4252,,,1319,Diogenes Phil. 01,,,,4252,,
4205,,,1251,CHAMAELEON,,,,4205,,
4195,,,1772,Paraleipomena Jeremiou,,,,4195,,
4104,,,497,PLATO,,,,4104,,
4081,,,308,ION,,,,4081,,
4063,,,2016,Passio Perpetuae et Felicitatis,,,,4063,,
4028,,,219,RHIANUS,,,,4028,,
4024,,,1441,IAMBLICHUS,,,,4024,,
4006,,,595,Zeno Phil. 01,,,,4006,,
3987,,,1427,HERODORUS,,,,3987,,
3973,,,1803,Bruti epistulae,,,,3973,,
3960,,,1461,LEUCIPPUS,,,,3960,,
3958,,,232,ARCHILOCHUS,,,,3958,,
3917,,,4150,Anacreontea,,,,3917,,
3917,,,292,Stesichorus 01,,,,3917,,
3903,,,1468,LUCILLIUS,,,,3903,,
3899,,,1310,DICTYS,,,,3899,,
3848,,,610,ALCIDAMAS,,,,3848,,
3822,,,1352,Epistula ecclesiarum apud Lugdunum et Viennam,,,,3822,,
3815,,,1933,NICANDER,,,,3815,,
3791,,,361,CLEONIDES,,,,3791,,
3786,,,291,ALCMAN,,,,3786,,
3775,,,35,Moschus 01,,,,3775,,
3744,,,113,Antipater Epigr. 01,,,,3744,,
3710,,,1650,PYTHEAS,,,,3710,,
3706,,,1309,Dialexeis (Dissoi logoi),,,,3706,,
3667,,,1204,ATHENAEUS,,,,3667,,
3626,,,186,Fronto Marcus Cornelius,,,,3626,,
3609,,,1578,PHAENIAS,,,,3609,,
3569,,,1224,BION,,,,3569,,
3557,,,1184,Aristides 01,,,,3557,,
3536,,,1893,SISYPHUS,,,,3536,,
3520,,,114,Antipater Epigr. 03,,,,3520,,
3510,,,1525,NEANTHES,,,,3510,,
3462,,,1279,CLITARCHUS,,,,3462,,
3457,,,725,ANAXIMANDER,,,,3457,,
3413,,,1589,Philippus 02,,,,3413,,
3396,,,293,IBYCUS,,,,3396,,
3391,,,1634,PRODICUS,,,,3391,,
3349,,,1436,Hippodamus,,,,3349,,
3336,,,1192,Ariston Phil. 01,,,,3336,,
3302,,,1697,STRATON,,,,3302,,
3298,,,1200,ASCLEPIADES,,,,3298,,
3294,,,2148,ARISTODEMUS,,,,3294,,
3273,,,1488,MAXIMUS,,,,3273,,
3255,,,1154,Apocalypsis Baruch,,,,3255,,
3198,,,1124,Andronicus 03,,,,3198,,
3197,,,221,EUPHORION,,,,3197,,
3178,,,473,MACHON,,,,3178,,
3162,,,1464,Liber Jubilaeorum,,,,3162,,
3150,,,405,ANAXANDRIDES,,,,3150,,
3118,,,608,SATYRUS,,,,3118,,
3063,,,1316,DINON,,,,3063,,
2971,,,1434,HIPPIAS,,,,2971,,
2956,,,1732,TIMACHIDAS,,,,2956,,
2935,,,1407,HERACLIDES LEMBUS,,,,2935,,
2889,,,1254,CHARAX,,,,2889,,
2876,,,2364,Zeno Hist. 03,,,,2876,,
2862,,,1405,HERACLIDES Criticus,,,,2862,,
2827,,,1214,BARDESANES,,,,2827,,
2825,,,1157,Apocalypsis Esdrae,,,,2825,,
2816,,,1276,CLIDEMUS,,,,2816,,
2806,,,1642,Ptolemaeus 08,,,,2806,,
2791,,,1550,Oracula 02,,,,2791,,
2758,,,1350,Epistula ad Diognetum,,,,2758,,
2730,,,1430,HIERONYMUS,,,,2730,,
2718,,,1484,Martyrium Polycarpi,,,,2718,,
2695,,,2424,CHAEREMON,,,,2695,,
2688,,,1583,PHANODEMUS,,,,2688,,
2663,,,1249,CEPHALION,,,,2663,,
2647,,,1252,Certamen Homeri et Hesiodi,,,,2647,,
2569,,,1258,CHARON,,,,2569,,
2553,,,1322,DIOGENIANUS,,,,2553,,
2551,,,1394,HEGESIAS,,,,2551,,
2548,,,389,Acta Petri,,,,2548,,
2531,,,649,LESBONAX,,,,2531,,
2492,,,1751,XANTHUS,,,,2492,,
2491,,,1226,BITON,,,,2491,,
2489,,,2432,Marmor Parium,,,,2489,,
2458,,,1145,Antiochus 03,,,,2458,,
2414,,,48,Philippus 10,,,,2414,,
2400,,,569,APOLLONIUS,,,,2400,,
2395,,,515,TIMOCLES,,,,2395,,
2383,,,1307,DEMON,,,,2383,,
2382,,,384,Acta Justini et septem sodalium,,,,2382,,
2378,,,1953,HIERONYMUS,,,,2378,,
2352,,,1255,CHARES,,,,2352,,
2350,,,630,PHERECYDES,,,,2350,,
2340,,,1763,Tryphon 04,,,,2340,,
2323,,,1311,Didache xii apostolorum,,,,2323,,
2310,,,1376,EUDEMUS,,,,2310,,
2256,,,233,HIPPONAX,,,,2256,,
2212,,,1523,MYRON,,,,2212,,
2208,,,1186,ARISTOBULUS Judaeus,,,,2208,,
2176,,,1220,Batrachomyomachia,,,,2176,,
2168,,,1923,STESIMBROTUS,,,,2168,,
2159,,,574,LYSIMACHUS,,,,2159,,
2151,,,2409,DIOSCURIDES,,,,2151,,
2124,,,1641,Ptolemaeus 02,,,,2124,,
2123,,,2969,DEMONAX,,,,2123,,
2103,,,118,ANTIPHILUS,,,,2103,,
2080,,,2486,Eupolemus Judaeus 01,,,,2080,,
2075,,,90,AGATHEMERUS,,,,2075,,
2073,,,1302,DEMETRIUS,,,,2073,,
2064,,,237,ANACREON,,,,2064,,
2058,,,70,ISIDORUS,,,,2058,,
2032,,,1486,MATRON,,,,2032,,
2024,,,266,TYRTAEUS,,,,2024,,
2008,,,1574,PERSAEUS,,,,2008,,
2008,,,1135,ANONYMUS PHOTII,,,,2008,,
2008,,,617,ANAXIMENES,,,,2008,,
1979,,,2029,Anonymi geographia in sphaera intelligenda,,,,1979,,
1964,,,2489,ARTAPANUS Judaeus,,,,1964,,
1959,,,508,STRATTIS,,,,1959,,
1923,,,766,ALCMAEON,,,,1923,,
1915,,,54,Theano,,,,1915,,
1909,,,1426,Herodes 02,,,,1909,,
1907,,,1134,ANONYMUS IAMBLICHI,,,,1907,,
1905,,,252,HERMIPPUS,,,,1905,,
1901,,,1442,IDOMENEUS,,,,1901,,
1899,,,154,CRINAGORAS,,,,1899,,
1881,,,1367,Euripidis epistulae,,,,1881,,
1874,,,304,Acta et martyrium Apollonii,,,,1874,,
1871,,,294,CORINNA,,,,1871,,
1867,,,531,HERMIAS,,,,1867,,
1845,,,263,SOLON,,,,1845,,
1843,,,714,ANAXARCHUS,,,,1843,,
1841,,,1685,Sosibius 02,,,,1841,,
1836,,,36,BION,,,,1836,,
1826,,,1544,NYMPHIS,,,,1826,,
1823,,,1413,HERACLITUS,,,,1823,,
1808,,,1288,CRATERUS,,,,1808,,
1801,,,1918,TIMAGENES,,,,1801,,
1766,,,1398,HEGESIPPUS,,,,1766,,
1754,,,1521,Vita et sententiae Secundi,,,,1754,,
1746,,,2546,Rutilius Rufus Publius,,,,1746,,
1741,,,1664,SENIORES ALEXANDRINI,,,,1741,,
1734,,,2162,Aratus Hist. 02,,,,1734,,
1711,,,2479,PATROCLES,,,,1711,,
1692,,,173,DIOSCORIDES,,,,1692,,
1677,,,1341,Ecphantus,,,,1677,,
1676,,,1558,PAPIAS,,,,1676,,
1667,,,1332,Diotogenes,,,,1667,,
1667,,,1287,CRANTOR,,,,1667,,
1662,,,2497,JUSTUS Judaeus,,,,1662,,
1661,,,343,EZECHIEL,,,,1661,,
1658,,,2331,MYRSILUS,,,,1658,,
1632,,,2485,DEMETRIUS Judaeus,,,,1632,,
1632,,,239,ANTIMACHUS,,,,1632,,
1629,,,1133,ANONYMUS DIODORI,,,,1629,,
1628,,,578,NYMPHODORUS,,,,1628,,
1617,,,1976,METRODORUS,,,,1617,,
1617,,,582,Paradoxographus Vaticanus,,,,1617,,
1613,,,404,AMPHIS,,,,1613,,
1611,,,1508,METRODORUS,,,,1611,,
1606,,,1605,Phocylides,,,,1606,,
1605,,,126,Archias Epigr. 02,,,,1605,,
1603,,,1752,XENAGORAS,,,,1603,,
1577,,,2265,DIODORUS,,,,1577,,
1554,,,137,ASCLEPIADES,,,,1554,,
1549,,,1294,CRITOLAUS,,,,1549,,
1549,,,606,RUFUS,,,,1549,,
1543,,,1838,THEON,,,,1543,,
1540,,,450,EPHIPPUS,,,,1540,,
1527,,,1678,Socrates Hist. 01,,,,1527,,
1524,,,212,PHILETAS,,,,1524,,
1511,,,1437,HIPPON,,,,1511,,
1487,,,1729,THRASYMACHUS,,,,1487,,
1457,,,1466,LOLLIANUS,,,,1457,,
1455,,,1804,Ninus,,,,1455,,
1452,,,1393,HEGESIANAX,,,,1452,,
1447,,,1981,THEOPHANES,,,,1447,,
1441,,,1507,Metopus,,,,1441,,
1439,,,1483,Martyrium et ascensio Isaiae,,,,1439,,
1438,,,1246,CASTOR,,,,1438,,
1433,,,1663,SEMUS,,,,1433,,
1431,,,1470,Lycus Hist. 01,,,,1431,,
1431,,,1326,Dionysius 04,,,,1431,,
1431,,,1140,ANTICLIDES,,,,1431,,
1426,,,2543,Cincius Alimentus,,,,1426,,
1410,,,2260,HIPPASUS,,,,1410,,
1405,,,132,Argentarius,,,,1405,,
1402,,,1517,MOSCHION,,,,1402,,
1393,,,2334,NAUSIPHANES,,,,1393,,
1393,,,406,ANAXILAS,,,,1393,,
1391,,,695,ALCIMUS,,,,1391,,
1389,,,1778,ANDROSTHENES,,,,1389,,
1389,,,282,ANONYMUS DE VIRIBUS HERBARUM,,,,1389,,
1372,,,1656,RUFINUS,,,,1372,,
1368,,,1932,BAETO,,,,1368,,
1367,,,1498,MENANDER,,,,1367,,
1356,,,357,Didymus 05,,,,1356,,
1355,,,1532,Nicarchus 03,,,,1355,,
1354,,,2303,ARCHELAUS,,,,1354,,
1346,,,89,PRAXIPHANES,,,,1346,,
1341,,,513,THEOPOMPUS,,,,1341,,
1330,,,1123,ANDRON,,,,1330,,
1319,,,1131,Anonymus ad Avircium Marcellum,,,,1319,,
1299,,,1406,Heraclides Hist. 01,,,,1299,,
1296,,,500,POSIDIPPUS,,,,1296,,
1294,,,587,SOTION,,,,1294,,
1272,,,1237,Callicratidas,,,,1272,,
1256,,,2403,PERSAEUS,,,,1256,,
1248,,,597,ZENODORUS,,,,1248,,
1234,,,580,Paradoxographus Florentinus,,,,1234,,
1232,,,211,SIMIAS,,,,1232,,
1222,,,1481,MARSYAS Pellaeus et MARSYAS Philippeus,,,,1222,,
1219,,,2436,Ephemerides,,,,1219,,
1202,,,1250,CERCIDAS,,,,1202,,
1184,,,1622,POLYCARPUS,,,,1184,,
1184,,,1143,Antiochus 06,,,,1184,,
1176,,,1572,Perictione,,,,1176,,
1174,,,2545,Acilius Gaius,,,,1174,,
1158,,,460,EUPHRO,,,,1158,,
1158,,,445,Dionysius 02,,,,1158,,
1154,,,1199,Asclepiades Hist. 04,,,,1154,,
1153,,,260,SEMONIDES,,,,1153,,
1146,,,124,APOLLONIDES,,,,1146,,
1145,,,1710,Theages,,,,1145,,
1137,,,688,Agathocles Hist. 01,,,,1137,,
1137,,,298,EUMELUS,,,,1137,,
1123,,,255,MIMNERMUS,,,,1123,,
1122,,,1289,CRATES,,,,1122,,
1115,,,1868,DAMASTES,,,,1115,,
1109,,,438,DAMOXENUS,,,,1109,,
1106,,,484,NICOSTRATUS,,,,1106,,
1104,,,376,TIMOTHEUS,,,,1104,,
1100,,,496,Phrynichus 02,,,,1100,,
1097,,,1645,Ptolemaeus 14,,,,1097,,
1088,,,1623,Polycharmus 02,,,,1088,,
1084,,,1693,SPHAERUS,,,,1084,,
1079,,,128,ZOILUS,,,,1079,,
1077,,,1735,TIMON,,,,1077,,
1075,,,2215,Ariaethus,,,,1075,,
1074,,,1164,Apollodorus Hist. 03,,,,1074,,
